MS DRG Code,MS DRG,MS DRG Description,CMS MS DRG Weight,Geometric Mean LOS,Arithmetic Mean LOS
191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,0.8843,2.9,3.5
192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,0.6956,2.4,2.8
193,193 - SIMPLE PNEUMONIA AND PLEURISY WITH MCC,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,1.3120,4.1,5.1
194,194 - SIMPLE PNEUMONIA AND PLEURISY WITH CC,SIMPLE PNEUMONIA AND PLEURISY WITH CC,0.8639,3.1,3.7
195,195 - SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,0.6658,2.5,2.9
196,196 - INTERSTITIAL LUNG DISEASE WITH MCC,INTERSTITIAL LUNG DISEASE WITH MCC,1.7386,4.8,6.4
197,197 - INTERSTITIAL LUNG DISEASE WITH CC,INTERSTITIAL LUNG DISEASE WITH CC,1.0070,3.2,4.0
198,198 - INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,0.7434,2.4,2.9
199,199 - PNEUMOTHORAX WITH MCC,PNEUMOTHORAX WITH MCC,1.7900,5.1,6.6
200,200 - PNEUMOTHORAX WITH CC,PNEUMOTHORAX WITH CC,1.0765,3.2,4.0
201,201 - PNEUMOTHORAX WITHOUT CC/MCC,PNEUMOTHORAX WITHOUT CC/MCC,0.7096,2.3,2.9
202,202 - BRONCHITIS AND ASTHMA WITH CC/MCC,BRONCHITIS AND ASTHMA WITH CC/MCC,0.9670,3.0,3.7
203,203 - BRONCHITIS AND ASTHMA WITHOUT CC/MCC,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,0.7070,2.3,2.8
204,204 - RESPIRATORY SIGNS AND SYMPTOMS,RESPIRATORY SIGNS AND SYMPTOMS,0.7936,2.1,2.7
205,205 - OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,1.6848,4.1,5.7
206,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,0.8860,2.5,3.1
207,207 - RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,5.7361,11.9,14.0
208,208 - RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,2.5448,4.9,6.8
215,215 - OTHER HEART ASSIST SYSTEM IMPLANT,OTHER HEART ASSIST SYSTEM IMPLANT,10.5584,5.1,8.6
216,216 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,10.0393,11.6,14.7
217,217 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,6.4835,6.2,7.9
218,218 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,6.1093,3.1,4.2
219,219 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,8.0576,8.9,10.9
220,220 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC,5.4053,5.9,6.5
221,221 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC,4.5799,3.8,4.4
222,"222 - CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MCC",7.9510,8.8,10.6
223,"223 - CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT MCC",5.7986,4.7,5.6
224,"224 - CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH MCC",7.5191,7.6,9.3
225,"225 - CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITHOUT MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITHOUT MCC",5.6178,4.2,4.9
226,226 - CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,6.5650,6.1,7.8
227,227 - CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,5.2121,3.0,3.9
228,228 - OTHER CARDIOTHORACIC PROCEDURES WITH MCC,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,5.3303,7.0,9.6
229,229 - OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,3.4412,3.0,4.0
230,230 - OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC,OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC,4.3018,4.3,4.9
231,231 - CORONARY BYPASS WITH PTCA WITH MCC,CORONARY BYPASS WITH PTCA WITH MCC,8.7159,10.8,12.5
232,232 - CORONARY BYPASS WITH PTCA WITHOUT MCC,CORONARY BYPASS WITH PTCA WITHOUT MCC,5.9538,7.7,8.5
233,233 - CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,7.9223,11.4,12.8
234,234 - CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,5.3360,8.1,8.6
235,235 - CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,6.1041,8.6,9.8
236,236 - CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,4.0970,6.0,6.4
237,237 - MAJOR CARDIOVASC PROCEDURES W MCC,MAJOR CARDIOVASC PROCEDURES W MCC,5.0843,6.7,9.7
238,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,MAJOR CARDIOVASC PROCEDURES W/O MCC,3.4241,2.6,3.7
239,239 - AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,4.8160,10.4,13.2
240,240 - AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,2.7888,7.0,8.6
241,241 - AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,1.5924,4.4,5.2
242,242 - PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,3.7276,5.2,6.7
243,243 - PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,2.5185,3.1,3.8
244,244 - PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,2.0633,2.2,2.6
245,245 - AICD GENERATOR PROCEDURES,AICD GENERATOR PROCEDURES,5.4178,4.7,6.5
246,246 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,3.1243,3.9,5.2
247,247 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,1.9732,2.1,2.5
248,248 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,3.1622,4.5,6.0
249,249 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,1.8737,2.2,2.7
250,250 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,2.5218,3.7,5.0
251,251 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,1.6584,2.1,2.6
252,252 - OTHER VASCULAR PROCEDURES WITH MCC,OTHER VASCULAR PROCEDURES WITH MCC,3.3257,5.2,7.5
253,253 - OTHER VASCULAR PROCEDURES WITH CC,OTHER VASCULAR PROCEDURES WITH CC,2.6536,4.0,5.4
254,254 - OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,1.8159,2.1,2.6
255,255 - UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,2.5353,6.5,8.2
256,256 - UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1.6442,5.0,5.9
257,257 - UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,1.1652,3.5,4.4
258,258 - CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,3.1681,5.0,6.6
259,259 - CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,2.0892,2.6,3.3
260,260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,3.5673,6.4,8.8
261,261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,1.9939,3.2,4.0
262,262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,1.7062,2.2,2.7
263,263 - VEIN LIGATION AND STRIPPING,VEIN LIGATION AND STRIPPING,2.3132,4.4,6.5
264,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,3.2536,6.5,9.2
265,265 - AICD LEAD PROCEDURES,AICD LEAD PROCEDURES,3.3655,3.7,5.2
266,266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,7.0479,3.2,5.2
267,267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,5.5980,1.7,2.1
268,268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,6.9633,6.3,9.3
269,269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,4.3151,1.6,2.2
270,270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,5.1870,6.6,9.5
271,271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,3.5654,4.3,5.7
272,272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,2.6883,2.0,2.6
273,273 - PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,3.8267,4.3,6.1
274,274 - PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,3.2866,1.5,2.0
280,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",1.6069,4.1,5.3
281,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",0.9306,2.5,3.0
282,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",0.7261,1.8,2.1
283,"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",1.8647,2.9,4.8
284,"284 - ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",0.7234,1.6,2.1
285,"285 - ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC","ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",0.4947,1.2,1.4
286,"286 - CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",2.1363,5.2,6.8
287,"287 - CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",1.1151,2.2,2.7
288,288 - ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,2.6854,7.1,9.3
289,289 - ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,1.6436,5.3,6.7
290,290 - ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,1.0269,3.6,4.5
291,291 - HEART FAILURE AND SHOCK WITH MCC,HEART FAILURE AND SHOCK WITH MCC,1.2683,3.8,4.9
292,292 - HEART FAILURE AND SHOCK WITH CC,HEART FAILURE AND SHOCK WITH CC,0.8635,3.0,3.8
293,293 - HEART FAILURE AND SHOCK WITHOUT CC/MCC,HEART FAILURE AND SHOCK WITHOUT CC/MCC,0.5899,2.2,2.6
294,294 - DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,1.2828,3.3,4.4
295,295 - DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,0.9841,2.6,3.3
296,"296 - CARDIAC ARREST, UNEXPLAINED WITH MCC","CARDIAC ARREST, UNEXPLAINED WITH MCC",1.5952,2.0,3.2
297,"297 - CARDIAC ARREST, UNEXPLAINED WITH CC","CARDIAC ARREST, UNEXPLAINED WITH CC",0.7070,1.3,1.7
298,"298 - CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC","CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",0.4888,1.1,1.1
299,299 - PERIPHERAL VASCULAR DISORDERS WITH MCC,PERIPHERAL VASCULAR DISORDERS WITH MCC,1.5326,3.9,5.2
300,300 - PERIPHERAL VASCULAR DISORDERS WITH CC,PERIPHERAL VASCULAR DISORDERS WITH CC,1.0438,3.1,4.0
301,301 - PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,0.7431,2.2,2.7
302,302 - ATHEROSCLEROSIS WITH MCC,ATHEROSCLEROSIS WITH MCC,1.0948,2.7,3.7
303,303 - ATHEROSCLEROSIS WITHOUT MCC,ATHEROSCLEROSIS WITHOUT MCC,0.6776,1.9,2.3
304,304 - HYPERTENSION WITH MCC,HYPERTENSION WITH MCC,1.0970,2.9,3.8
305,305 - HYPERTENSION WITHOUT MCC,HYPERTENSION WITHOUT MCC,0.7399,2.2,2.7
306,306 - CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,1.5074,3.7,5.1
307,307 - CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,0.8704,2.4,3.0
308,308 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,1.2009,3.5,4.5
309,309 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,0.7505,2.4,2.9
310,310 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,0.5592,1.9,2.2
311,311 - ANGINA PECTORIS,ANGINA PECTORIS,0.6985,1.9,2.4
312,312 - SYNCOPE AND COLLAPSE,SYNCOPE AND COLLAPSE,0.8387,2.3,2.9
313,313 - CHEST PAIN,CHEST PAIN,0.7214,1.7,2.1
314,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,2.0847,4.8,6.6
315,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,0.9734,2.8,3.6
316,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,0.7234,1.9,2.3
319,319 - OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,4.3179,7.7,10.0
320,320 - OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,2.4056,2.4,3.5
326,"326 - STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",5.3163,9.5,13.0
327,"327 - STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",2.5647,4.6,6.3
328,"328 - STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",1.6669,2.3,2.9
329,329 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,4.8862,10.3,13.0
330,330 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,2.5493,5.7,6.9
331,331 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.7105,3.3,3.8
332,332 - RECTAL RESECTION WITH MCC,RECTAL RESECTION WITH MCC,4.1615,7.9,10.2
333,333 - RECTAL RESECTION WITH CC,RECTAL RESECTION WITH CC,2.1413,4.1,5.1
334,334 - RECTAL RESECTION WITHOUT CC/MCC,RECTAL RESECTION WITHOUT CC/MCC,1.6086,2.5,3.0
335,335 - PERITONEAL ADHESIOLYSIS WITH MCC,PERITONEAL ADHESIOLYSIS WITH MCC,3.9135,9.3,11.5
336,336 - PERITONEAL ADHESIOLYSIS WITH CC,PERITONEAL ADHESIOLYSIS WITH CC,2.2913,5.9,7.3
337,337 - PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,1.6373,3.7,4.6
338,338 - APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,2.7973,6.4,8.1
339,339 - APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1.6974,4.0,5.0
340,340 - APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.2283,2.4,2.9
341,341 - APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,2.3224,4.3,5.9
342,342 - APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1.4329,2.7,3.4
343,343 - APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.1086,1.7,2.0
344,344 - MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,2.8184,7.0,9.2
345,345 - MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,1.5788,4.3,5.4
346,346 - MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.2754,3.1,3.6
347,347 - ANAL AND STOMAL PROCEDURES WITH MCC,ANAL AND STOMAL PROCEDURES WITH MCC,2.4647,5.6,7.5
348,348 - ANAL AND STOMAL PROCEDURES WITH CC,ANAL AND STOMAL PROCEDURES WITH CC,1.3481,3.3,4.1
349,349 - ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,0.9793,1.9,2.3
350,350 - INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,2.4548,5.2,6.9
351,351 - INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,1.4927,3.2,3.9
352,352 - INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,1.1044,2.0,2.4
353,353 - HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,3.0249,5.9,7.7
354,354 - HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,1.7848,3.6,4.5
355,355 - HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,1.3602,2.4,2.8
356,356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,4.3078,7.7,10.5
357,357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,2.2685,4.6,5.9
