Charge Code,Charge Description
120321,IO DIAPHRAGM
120325,IO CPR
120536,OUT FACTOR II (PROTHROMBIN 202106>A) (QUEST)
126981,OCMRO
120381,MRI SOFT TISSUE NECK W/O CONT
120410,OR DEXAMETHASONE 0.25 MG
126986,HLA-B5701
120538,"OUT FACTOR V (LEIDEN), DNA (QUEST)"
120540,"OUT HOMOCYSTEINE, CARDIOVASCULAR (QUEST)"
126992,JO-1-ANTIBODIES
120416,"TDAP VACCINE, BOOSTRIX (10-18 YRS)"
126994,DVD
120542,"OUT PROTEIN C, FUNCTIONAL"
126998,INTRINSIC FACTOR BLOCKING ANTIBODY
120546,"OUT FRAGILE X, DNA (QUEST)"
120548,"OUT CHROMOSOME ANALYSIS (NO AFP), AMNIOTIC FLUID (QUEST)"
120549,REFERRAL TO COUMADIN CLINIC
127006,ACETYLCHOLINE RECEPT BLOCK AB
120550,IO CLINICAL BREAST & SCREENING PELVIC EXAM
120552,REFERRAL TO LACTATION SPEC
120553,REFERRAL TO LALECHE LEAGUE
120555,ECG EVENT MONITOR
120556,MRSA PCR (PHYSICIAN ORDER)
120559,OCCULT BLOOD STOOL
127020,"AMINO ACIDS,QUAN 24 UR"
127022,AA QUAL PLASMA
120560,INVASIVE VASCULAR PROCEDURE
121563,KNEE SLEEVE NEOPRENE
121564,LUMBAR CORSET
127030,ANTI-THROMBIN III ANTIGEN
121565,MORGAN LENS
121566,POSTOP SHOE FEMALE
121567,POSTOP SHOE MALE
121568,RIB BELT FEMALE 6
121569,RIB BELT MALE 6
121570,SHORT LEG WALKER
121571,SHOULDER IMMOBILIZER
121572,SLING ARM LG
121573,SLING ARM MED
121574,SLING ARM SM
121575,SPLINT ORTHO GLAS 2
121576,SPLINT ORTHO GLAS 3
121577,SPLINT ORTHO GLAS 4
121578,SPLINT ORTHO GLAS 5
121579,SPLINT ORTHO GLAS 6
121580,THUMB SPICA RT MED
121581,THUMB SPICA RT LG
121582,THUMB SPICA LT MED
121583,THUMB SPICA LT LG
121584,UNNA BOOT
121585,UNNA BOOT W/ CALAMINE
121586,WRIST/FOREARM SPLINT 8 RT
121587,WRIST/FOREARM SPLINT 8 LT
121588,WRIST/FOREARM SPLINT12 RT
121589,WRIST/FOREARM SPLINT 12 LT
120419,MRA NECK W/CONTRAST
121122,DELETED FOR 2002
121123,DELETED FOR 2002
121124,DELETED FOR 2002
121125,DELETED FOR 2002
121126,DELETED FOR 2002
121127,DELETED FOR 2002
121128,DELETED FOR 2002
121129,DELETED FOR 2002
121130,DELETED FOR 2002
121131,DELETED FOR 2002
121132,DELETED FOR 2002
121133,DELETED FOR 2002
121134,DELETED FOR 2002
121135,DELETED FOR 2002
121136,DELETED FOR 2002
121137,DELETED FOR 2002
121138,DELETED FOR 2002
121139,DELETED FOR 2002
121140,DELETED FOR 2002
121141,DELETED FOR 2002
121142,DELETED FOR 2002
121143,DELETED FOR 2002
121144,DELETED FOR 2002
121145,DELETED FOR 2002
121146,DELETED FOR 2002
121147,DELETED FOR 2002
121148,DELETED FOR 2002
121149,DELETED FOR 2002
121150,DELETED FOR 2002
121151,DELETED FOR 2002
121152,DELETED FOR 2002
121153,DELETED FOR 2002
121154,DELETED FOR 2002
121155,DELETED FOR 2002
121156,DELETED FOR 2002
121157,DELETED FOR 2002
121158,DELETED FOR 2002
121159,DELETED FOR 2002
121160,DELETED FOR 2002
121161,DELETED FOR 2002
121162,DELETED FOR 2002
121163,DELETED FOR 2002
121164,DELETED FOR 2002
121165,DELETED FOR 2002
121166,DELETED FOR 2002
121167,DELETED FOR 2002
121168,DELETED FOR 2002
121169,DELETED FOR 2002
121170,DELETED FOR 2002
121171,DELETED FOR 2002
121172,DELETED FOR 2002
121173,DELETED FOR 2002
121174,DELETED FOR 2002
121175,DELETED FOR 2002
121176,DELETED FOR 2002
121177,DELETED FOR 2002
121178,DELETED FOR 2002
121179,DELETED FOR 2002
121180,DELETED FOR 2002
121181,DELETED FOR 2002
121182,DELETED FOR 2002
121183,DELETED FOR 2002
121184,DELETED FOR 2002
121185,DELETED FOR 2002
121186,DELETED FOR 2002
121187,DELETED FOR 2002
121188,DELETED FOR 2002
121189,DELETED FOR 2002
121190,DELETED FOR 2002
121191,DELETED FOR 2002
121192,DELETED FOR 2002
121193,DELETED FOR 2002
121194,DELETED FOR 2002
121195,DELETED FOR 2002
121196,DELETED FOR 2002
121197,DELETED FOR 2002
121198,DELETED FOR 2002
121199,DELETED FOR 2002
121200,DELETED FOR 2002
121201,DELETED FOR 2002
121202,DELETED FOR 2002
121203,DELETED FOR 2002
121204,DELETED FOR 2002
121205,DELETED FOR 2002
121206,DELETED FOR 2002
121207,DELETED FOR 2002
121208,DELETED FOR 2002
121209,DELETED FOR 2002
121210,DELETED FOR 2002
121211,DELETED FOR 2002
121212,DELETED FOR 2002
121213,DELETED FOR 2002
121214,DELETED FOR 2002
121215,DELETED FOR 2002
121216,DELETED FOR 2002
121217,DELETED FOR 2002
121218,DELETED FOR 2002
121219,DELETED FOR 2002
121220,DELETED FOR 2002
121221,DELETED FOR 2002
121222,DELETED FOR 2002
121223,DELETED FOR 2002
121224,DELETED FOR 2002
121225,DELETED FOR 2002
121226,DELETED FOR 2002
121227,DELETED FOR 2002
121228,DELETED FOR 2002
121229,DELETED FOR 2002
121230,DELETED FOR 2002
121231,DELETED FOR 2002
121232,DELETED FOR 2002
121233,DELETED FOR 2002
121234,DELETED FOR 2002
121235,DELETED FOR 2002
121236,DELETED FOR 2002
121237,DELETED FOR 2002
121238,DELETED FOR 2002
121239,DELETED FOR 2002
121240,DELETED FOR 2002
121241,DELETED FOR 2002
121242,DELETED FOR 2002
121243,DELETED FOR 2002
121244,DELETED FOR 2002
121245,DELETED FOR 2002
121246,DELETED FOR 2002
121247,DELETED FOR 2002
121248,DELETED FOR 2002
121249,DELETED FOR 2002
121250,DELETED FOR 2002
121251,DELETED FOR 2002
121252,DELETED FOR 2002
121253,DELETED FOR 2002
121254,DELETED FOR 2002
121255,DELETED FOR 2002
121256,DELETED FOR 2002
121257,DELETED FOR 2002
121258,DELETED FOR 2002
121259,DELETED FOR 2002
121260,DELETED FOR 2002
121261,DELETED FOR 2002
121262,DELETED FOR 2002
121263,DELETED FOR 2002
124314,XR VASCULAR ACCESS DYE STUDY
124316,US LYMPH NODE BIOPSY SONO
124320,US AAA SCREENING SONO
124329,*GRAM STAIN STAT ORDER
124331,XR OR-BILAT EXTREMITY ANGIO
124333,XR OR-INFERIOR VENA CAVAGRAM
124337,US THORACENTESIS-THERAP WO LAB SONO
124339,US THORACENTESIS-DIAGN W LABS SONO
124341,US PARACENTESIS-THERAP WO LAB SONO
127118,LEUKOCYTE ALKALINE PHOS SCORE
124343,US PARACENTESIS-DIAGN W LABS SONO
124355,URIC ACID (ELITEK PATIENT)
124381,XR HUMERUS 1 VIEW
124383,XR ELBOW 1 VIEW
124726,"NEISSERIA GONORRHEA, RNA, GENITAL/URINE"
124727,"CHLAMYDIA TRACHOMATIS, RNA, GENITAL/URINE"
124728,"CULTURE, ACID FAST CF"
124730,"CALCIUM, RANDOM URINE"
124732,XR OR-UNI CEREBRAL ANGIOGRAM
124735,ADD DIFF
124736,US RENAL/BLADDER ONLY
124739,XR OR-ENDO THORACIC REPAIR W/O
124740,SP THROMBECTOMY 2NDARY PROC.
124741,ED FOLLOW UP INSTRUCTIONS
124825,"DRUG SCREEN, URINE"
125010,LEGACY TRANSFER PAYMENT
125020,"IO HEMOCCULT (1-3 CARDS, GIVEN TO PATIENT, DIAGNOSTIC)"
125021,RH TYPE
125028,ANTIGEN TYPE
125044,NCNV
125045,ZERO CHARGE ORDERABLE
125049,PPEC CLEARING PAYMENT
125050,PPEC PAYMENT CLEARING RECOUPMENT
127170,TEICHOIC ACID AB
125051,PPEC CLEARING DEBIT ADJUSTMENT
125054,CT SI JOINT INJECTION
125055,CT ENTEROGRAPHY
125056,PPEC CLEARING RECOUPMENT DEBIT
125060,TAGGED RED BLOOD CELL SCAN
125062,CT HEART SCAN
127184,ACH RECPTOR MODULATING AB
125064,CT COLONOGRAPHY
125066,REFERRAL TO CHIROPRACTOR
125068,REFERRAL TO MASSAGE THERAPY
125087,LMHS CLEARING RECOUPMENT
125088,SWGC CLEARING RECOUPMENT
125089,CCH CLEARING RECOUPMENT
125090,LMHS RECOUPMENT DEBIT
125091,SWGC RECOUPMENT DEBIT
125092,CCH CLEARING RECOUPMENT DEBIT
125095,"MAGNESIUM, SERUM (OB PATIENTS)"
125096,ASO
125097,"CRP,HIGH SENSITIVITY(CARDIAC)"
125100,PTH  INTACT
125103,OCC MED PAYMENT
125105,XR RIBS BILAT W/O CXR MIN 3 VIEWS
125111,EXTENDED RANGE QUANT
125113,PHENOSENSE COMPREHENSIVE
125115,T-LYMPHOCYTE HELPER-SUPPRESSOR
125117,GENOSURE
125121,HCV RNA QUAL
125131,HIV CO-RECEPTOR TROPHISM (TROFILE) ASSAY
125133,HLA-B2701
125135,REFERRAL TO RETINAL SPECIALIST
127232,LDL CHOLESTEROL
125143,P BLADDER PANEL
125144,H BLADDER PANEL
125148,REFERRAL TO HOSPICE
125150,REFERRAL TO CARDIAC REHAB
125156,IONIZED CALCIUM MACHINE FLUID
127244,TOXOCARA CANIS ANITBODY
127246,HEPARIN ANTI XA
125157,T3 FREE
125158,TESTOSTERONE
125159,INSULIN
125161,RANGE OF MOTION
125162,INTEREST RECOUPMENT
125163,MEDICARE INTEREST RECOUPMENT
125164,INTEREST RECOUPMENT DEBIT
125165,MEDICARE RECOUPMENT DEBIT
125180,LEGACY PATIENT PAYMENT
125181,VISIT VOID
125183,REFERRAL TO SOCIAL WORK
125185,REFERRAL TO BALANCE CLINIC
125189,"ANESTH,PERC IMAGE GUIDE SPINAL PROC, DIAG"
125191,"ANESTH,PERC IMAGE GUIDE SPINAL PROC, THER"
125193,PLACEMENT NEEDLES MUSCLE SUBSEQUENT RADIOELEMENT
125195,CPTR-ASST SURGICAL NAVIGATION IMAGE-LESS
125197,CPTR-ASST SURGICAL NAVIGATION INTRAOP IMAGE
127282,PROTEIN C ANTIGEN
127284,"PROTEIN S ANTIGEN, FREE"
125199,CPTR-ASST SURG NAVIGATION PREOPERATIVE IMAGE
125201,MANIPULATION TMJ THERAPEUTIC REQUIRE ANESTHESIA
125203,OSTEOTOMY SPINE POSTERIOR 3 COLUMN THORACIC
125205,OSTEOTOMY SPINE POSTERIOR 3 COLUMN LUMBAR
127294,RPR (MAYO)
125207,OSTEOTOMY SPINE POSTERIOR 3 COLUMN EA ADDL SGM
125209,TENOTOMY ELBOW LATERAL/MEDIAL PERCUTANEOUS
125211,TENOTOMY ELBOW LATERAL/MEDIAL DEBRIDE OPEN
125213,TENOTOMY ELBOW LATERAL/MEDIAL DEBRIDE REPAIR
125215,CLOSED TX FEMORAL FRACTURE PROX HEAD W/O MANIP
125217,CLOSED TX FEMORAL FRACTURE PROX HEAD W MANIP
125219,OPEN TX FEMORAL FRACTURE PROXIMAL END HEAD
125221,OSTEOCHONDRAL KNEE AUTOGRAFT
125223,RPR FIBULA NONUNION/MALUNION W INT FIXATION
127314,TRYPSIN STOOL
125225,CLOSED TREATMENT PST MALLEOLUS FRACTURE W/O MANIP
125227,CLOSED TREATMENT PST MALLEOLUS FRACTURE W MANIP
125229,OPEN TREATMENT POSTERIOR MALLEOLUS FRACTURE
125231,OPEN OSTEOCHONDRAL AUTOGRAFT TALUS
125233,ARTHROSCOPY SHOULDER SURGICAL BICEPS TENODESIS
125235,ARTHROSCOPY SUBTALAR JOINT REMOVE LOOSE/FOREIGN BODY
125237,ARTHROSCOPY SUBTALAR JOINT WITH SYNOVECTOMY
133797,BIPAP
133799,"HC SUPPLY 624, C1884"
133800,HC SUPPLY 624
133801,VOLUME VENTILATOR
127339,LEGIONELLA SMEAR
133802,PRESSURE VENTILATOR
133803,APRV/ BILEVEL/ BI-VENT
133804,EH VOL CHEST X-RAY
133807,CONSULT TO PHARMACIST
133808,REFERRAL TO STAR PROGRAM - INITIAL EVAL
133809,EH PPD RE-DO
133957,NURSING ACTIVITIES COMMUNICATION
133958,NURSING LDA COMMUNICATION
133959,NURSING DIET COMMUNICATION
159036,"HHB GLOVE,EXAM,LATEX,PF,STERILE,PAIRS,MD"
159040,"HHB DRESSING,GAUZE,XEROFORM,1""X8"",FOIL PK"
120732,DELETED FOR 2002
120733,DELETED FOR 2002
120734,DELETED FOR 2002
120735,DELETED FOR 2002
120736,DELETED FOR 2002
120737,DELETED FOR 2002
120738,DELETED FOR 2002
120739,DELETED FOR 2002
120740,DELETED FOR 2002
120741,DELETED FOR 2002
120742,DELETED FOR 2002
120743,DELETED FOR 2002
120744,DELETED FOR 2002
120745,DELETED FOR 2002
120746,DELETED FOR 2002
120747,DELETED FOR 2002
120748,DELETED FOR 2002
120749,DELETED FOR 2002
120750,DELETED FOR 2002
120751,DELETED FOR 2002
120752,DELETED FOR 2002
120753,DELETED FOR 2002
120754,DELETED FOR 2002
120755,DELETED FOR 2002
120756,DELETED FOR 2002
120757,DELETED FOR 2002
120758,DELETED FOR 2002
120759,DELETED FOR 2002
120760,DELETED FOR 2002
120761,DELETED FOR 2002
120762,DELETED FOR 2002
120763,DELETED FOR 2002
169501,HC WOUND DEBRIDEMENT PARTIAL
169503,HC WOUND DEBRIDEMENT TISS MUCS
4050,DELETED 2005
4059,"TRANSURETHRAL BALLOON DIL,PROST URETHRA"
7913,DELETED 2004
7980,"F/U INPATIENT CONSULT,LEVEL I"
7981,"F/U INPATIENT CONSULT,LEVEL II"
7982,"F/U INPATIENT CONSULT,LEVEL III"
7983,"CONFIRMATORY CONSULTATION,LEVL I"
7984,"CONFIRMATORY CONSULTATION,LEVL II"
7985,"CONFIRMATORY CONSULTATION,LEVL III"
7986,"CONFIRMATORY CONSULTATION,LEVL IV"
7987,"CONFIRMATORY CONSULTATION,LEVL V"
8000,CODE DELETED FOR 2003
13314,DELETED 2004
13316,"PERFLUTREN LIPID MICRO, 2ML"
13320,DELETED 2004
13322,DELETED 2004
13324,"ORCEL, PER 36 CM2"
13326,"DERMAGRAFT, PER 37.5 SQ CM"
13328,BARD ENDOSCOPIC SUTURING SYS
13330,DELETED 2004
13332,H.E.L.P. APHERESIS SYSTEM
13334,SEATLIFT INCORP COMMODECHAIR
13354,NEUROSTIMULATOR ELECTRODE
13356,PULSEGENERATOR PT PROGRAMMER
13358,REPLACE RDFRQUNCY TRANSMITTR
13364,DELETED 2004
13397,PET IMG WHOLEBODY DXLUNG
13399,PET IMG WHOLBODY INIT LUNG
13401,PET IMG WHOLEBOD RESTAG LUNG
13403,PET IMG WHOLBODY DX
13405,PET IMG WHOLEBOD INIT
13407,PETIMG WHOLEBOD RESTAG
13409,PET IMG WHOLEBOD DX MELANOMA
13411,PET IMG WHOLEBOD INIT MELAN
13413,PET IMG WHOLEBOD RESTAG MELA
13417,PET IMG WHOLEBOD DX LYMPHOMA
13419,PET IMAG WHOLBOD INIT LYMPHO
13421,PET IMAG WHOLBOD RESTA LYMPH
13423,PET IMAG WHOLBOD REG DX HEAD
13425,PET IMAG WHOLBOD REG INI HEA
13427,PET WHOL RESTAG HEADNECKONLY
13429,PET IMG WHOLBODY DX ESOPHAGL
13431,PET IMG WHOLBOD INI ESOPHAGE
13433,PET IMG WHOLBOD RESTG ESOPHA
13435,PET IMG METABOLOC BRAIN PRES
13437,PET MYOCARD VIABILITY POST
13439,PET WHBD COLOREC; GAMMA CAM
13441,PET WHBD LYMPHOMA; GAMMA CAM
13443,PET WHBD MELANOMA; GAMMA CAM
13445,PET WHBD PULM NOD; GAMMA CAM
13447,DELETED 2004
13455,DELETED 2004
13457,DELETED 2004
135077,"HC SUPPLY 278, L8699"
135111,"US JOINT ASP/INJ SMALL(FINGERS,TOES)SONO"
135113,"US JOINT ASP/INJ MED(WRIST,ANKLE)SONO"
135115,"US JOINT ASP/INJ LRG(SHLDR,HIP,KNEE)SONO"
135117,US BREAST COMPLETE UNILAT SONO
135119,US BREAST COMPLETE BILAT SONO
135121,US BREAST LIMITED UNILAT SONO
135123,US BREAST LIMITED BILAT SONO
135125,"CT VERTEBROPLASTY, CERVICAL/THORACIC"
135126,"CT VERTEBROPLASTY, LUMBAR"
135127,"CT VERTEBROPLASTY, EACH ADD LEVEL"
135128,"CT KYPHOPLASTY, THORACIC"
135129,"CT KYPHOPLASTY, LUMBAR"
135130,"CT KYPHOPLASTY, EACH ADD LEVEL"
135131,CT ABLATION- RF BONE 1 OR MORE
135132,MA MAMMO US BREAST COMP UNILAT
135133,MA MAMMO US BREAST COMP BILAT
135134,MA MAMMO US BREAST LMTD UNILAT
135136,MRI ENTEROGRAPHY
135137,MRI MRCP
135141,PRE-PROCEDURE TESTING COMMUNICATION
135179,CRYO PROCEDURE
135181,DISCOGRAPHY
135183,GENICULAR NERVE RADIOFREQUENCY
135185,MINOR JOINT INJECTION
143311,"PAIN MGMT, METHADONE, QN,W/MEDMATCH,U"
143313,"PAIN MGMT,OPIATES EXPAND, QN,W/MEDMATCH,U"
143315,"PAIN MGMT, OXYCODONE, QN,W/MEDMATCH,U"
143317,"PAIN MGMT, PROPOXYPHENE  METAB QN,W/MEDMATCH,U"
143319,"PAIN MGMT, CLONAZEPAM METAB,QN,W/MEDMATCH,U"
143321,"PAIN MGMT, ALCOHOL METAB, W/CONF,W/MEDMATCH,U"
143323,"PAIN MGMT, COCAINE METAB, QN,W/MEDMATCH,U"
132860,"SURESWAB(R), BACTERIAL VAGINOSIS/VAGINITIS"
132861,WALNUT (F256) IGE
132862,DNA AB (DS) CRITHIDIA TITER
132863,DNA AB (DS) CRITHIDIA TITER2
132864,DNA AB (DS) CRITHIDIA TITER3
132865,PR UNLISTED PROCEDURE COLON
132866,HC CATH.6FR.QUAD.5MM.CRD-2
132868,HC CATH.BALL.ADV.035.5X2
132869,PR ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT
132870,HC CATH.BALL.ADV.035.5X4
132872,HC CATH.BALL.ADV.035.5X6
132873,PR ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT W/BX
132874,HC CATH.BALL.ADV.035.5X8
132876,HC CATH.BALL.ADV.035.5X10
132877,PR ABLATION 1/> LIVER TUMOR PERQ CRYOABLATION
132878,HC CATH.BALL.ADV.035.6X2
132880,HC CATH.BALL.ADV.035.6X4
132881,PR CYSTO INSERTION TRANSPROSTATIC IMPLANT SINGLE
132882,HC CATH.BALL.ADV.035.6X6
132884,HC CATH.BALL.ADV.035.6X8
132885,PR CYSTO INSERTION TRANSPROSTATIC IMPLANT EA ADDL
132886,HC CATH.BALL.ADV.035.6X10
132888,HC CATH.BALL.ADV.035.7X2
132889,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I CERVICAL
132890,HC CATH.BALL.ADV.035.7X4
132892,HC CATH.BALL.ADV.035.7X8
132893,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I THORACIC
132894,HC CATH.BALL.ADV.035.7X10
132896,HC CATH.BALL.ADV.035.7X14
132897,PR MYELOGRAPHY VIA LUMBAR INJECT RS&I LUMBOSACRAL
132898,HC CATH.BALL.ADV.035.8X2
132900,HC CATH.BALL.ADV.035.8X4
132901,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I 2+ REGIONS
132902,HC CATH.BALL.ADV.035.8X6
132904,HC CATH.BALL.ADV.035.8X8
132905,PR TAP BLOCK UNILATERAL BY INJECTION(S)
132906,HC CATH.BALL.ADV.035.8X10
132908,HC CATH.BALL.ADV.035.8X14
132909,PR TAP BLOCK UNILATERAL BY CONTINUOUS INFUSION(S)
132910,HC CATH.BALL.ADV.035.9X4
132912,HC CATH.BALL.ADV.035.12X4
132913,PR TAP BLOCK BILATERAL BY INJECTION(S)
132914,HC EXTENSTION.SAMPLE.LINE.
132916,HC DEV.DLV.CAPSULE.ENDOSCP.
132917,PR TAP BLOCK BILATERAL BY CONTINUOUS INFUSION(S)
132918,HC CATH.OPTITRQ.5F.TIGER.4.0
132920,HC CATH.OPTITRQ.5F.TIGER.4.5
132921,PR AQUEOUS SHUNT EXTRAOCULAR RESERVOIR W/O GRAFT
132922,HC CATH.OPTITRQ.5F.TIGER.4.5
132924,HC CATH.OPTITRQ.6F.TIGER.4.5
132925,PR REVJ SHUNT EXTRAOCULAR RESERVOIR W/O GRAFT
132926,HC DRL.STARTER.CMPR.SCRW.7MM
132928,HC TRCR.VERSASTEP.70MM.SHRT.
132929,CHG US BREAST UNI REAL TIME WITH IMAGE COMPLETE
132931,CHG US BREAST UNI REAL TIME WITH IMAGE LIMITED
132932,HC PL.TIB.2H.3.5X79MM
132934,HC SCRW.CANN.LCK.3.7X12MM
132935,CHG DIGITAL BREAST TOMOSYNTHESIS UNILATERAL
132936,HC SCRW.CANN.LCK.3.7X58MM
132938,HC STNT.XPEDITION.3.5X12MM
132939,CHG DIGITAL BREAST TOMOSYNTHESIS BILATERAL
132940,HC STNT.XPEDITION.3.25X15MM
132942,HC STNT.XPEDITION.3.25X18MM
132943,CHG SCREENING DIGITAL BREAST TOMOSYNTHESIS BI
132944,HC STNT.XPEDITION.3.25X23MM
132946,HC STNT.XPEDITION.3.25X28MM
132947,CHG DXA BONE DENSITY STUDY AXIAL SKELETON
132948,HC STNT.XPEDITION.3.25X8MM
132950,HC STNT.XPEDITION.3.25X33MM
132951,CHG VERTEBRAL FRACTURE ASSESSMENT VIA DXA
132952,HC STNT.XPEDITION.3.25X38MM
132954,CHG TELETHX ISODOSE PLN SMPL W/DOSIMETRY CALCULATION
132956,HC BUR.ELITE.STRT.RTR.1.5MM
132957,CHG TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY
132958,HC RN NONSELECT WOUND DEBRIDEMEN
132960,HC L&D PATIENT VISIT
132963,CHG BRACHYTX ISODOSE PLN SMPL W/DOSIMETRY CAL
132964,HC PT MOBILITY CURRENT STATUS
132966,HC PT MOBILITY GOAL STATUS
132967,CHG BRACHYTX ISODOSE PLN INTERMED W/DOSIMETRY CAL
132968,HC PT MOBILITY D/C STATUS
132970,HC PT BODY POS CURRENT STATUS
132971,CHG BRACHYTX ISODOSE PLN CPLX W/DOSIMETRY CAL
132972,HC PT BODY POS GOAL STATUS
132974,HC PT BODY POS D/C STATUS
132975,CHG INTENSITY MODULATED RADIATION TX DLVR SIMPLE
132976,HC PT CARRY CURRENT STATUS
132978,HC PT CARRY GOAL STATUS
132979,CHG INTENSITY MODULATED RADIATION TX DLVR COMPLEX
132980,HC PT CARRY D/C STATUS
132982,HC PT SELF CARE CURRENT STATUS
132983,CHG GUIDANCE FOR LOC OF TARGET VOL RADIAJ TX DLVR
132984,HC PT SELF CARE GOAL STATUS
132986,HC PT SELF CARE D/C STATUS
132987,CHG DRUG SCREEN QUANTITATIVE DIGOXIN FREE
132988,HC PT OTHER PT/OT CURRENT STATUS
132990,HC PT OTHER PT/OT GOAL STATUS
132991,CHG DRUG SCREEN QUANT DIPROPYLACETIC ACID FREE
132992,HC PT OTHER PT/OT D/C STATUS
132994,HC PT SUB PT/OT CURRENT STATUS
132995,CHG DRUG SCREEN LIST A ANY NMBR NON TLC DEVICES
132996,HC PT SUB PT/OT GOAL STATUS
132998,HC PT SUB PT/OT D/C STATUS
132999,CHG DRUG SCREEN LIST A SINGLE DRUG CLASS METHOD
133000,HC OT MOBILITY CURRENT STATUS
133002,HC OT MOBILITY GOAL STATUS
133003,CHG DRUG SCREEN PRESUMPTIVE 1 CLASS METHOD LIST B
133004,HC OT MOBILITY D/C STATUS
133006,HC OT BODY POS CURRENT STATUS
133007,CHG DRUG SCREEN PRSMPTV 1/MULT CLASS METHOD TLC
133008,HC OT BODY POS GOAL STATUS
133010,HC OT BODY POS D/C STATUS
133011,CHG DRUG SCREEN PRSMPTV 1/MULT CLASS METHOD
133012,HC OT CARRY CURRENT STATUS
133014,HC OT CARRY GOAL STATUS
133015,CHG DRUG SCREEN QUANTITATIVE ALCOHOLS
133016,HC OT CARRY D/C STATUS
133018,HC OT SELF CARE CURRENT STATUS
130373,"HC GW.STD.ANG.025""X260CM"
130374,HC POST.MALE.SUPPORT.4H
130376,"HC GW.STD.ANG.035""X260CM"
130378,"THYROXINE (T4) FREE, DIRECT S"
130379,"HC GW.STD.ANG.038""X260CM"
130381,T3FREE
130382,"HC GW.STIFF.ANG.025""X260CM"
130383,T3FREE
130385,"HC GW.STIFF.ANG.035""X260CM"
130386,THYROID PEROXIDASE (TPO) AB
130388,"HC GW.STIFF.STRT.025""X260CM"
130389,THYROID PEROXIDASE (TPO) AB
130391,HCV RNA (INTERNATIONAL UNITS)
130392,"HC GW.STD.STRT.018""X320CM"
130393,HCV RNA (INTERNATIONAL UNITS)
130395,HCV QUANT II
130396,HC CATH.5FR.QUAD.5MM.CRD-2
130397,HCV QUANT II
130398,"HC GW.STD.STRT.018""X80CM"
130399,COMMENT (ARSENIC)
130401,"THYROXINE (T4) FREE, DIRECT S"
130402,"HC GW.STD.STRT.025""X150CM"
130404,"PROTEIN, TOTAL W/CREAT, 24 HOUR URINE"
130405,"HC GW.STD.STRT.025""X180CM"
130407,"HC GW.STD.STRT.025""X80CM"
155049,"BABESIA SPECIES, PCR, BLOOD"
130410,"POTASSIUM, PLASMA"
130411,"HC GW.STD.STRT.038""X150CM"
130412,"CHLAMYDIA TRACHOMATIS/NEISSERIA GONORRHOEAE, TMA"
130414,"TESTOSTERONE, TOTAL, LC/MS/MS"
130415,"HC GW.STD.STRT.038""X180CM"
130416,"MICROALBUMIN, RANDOM URINE (W/O CREATININE)"
130418,"HC GW.STD.STRT.038""X80CM"
130420,"CRYPTOSPORIDIUM AG, DFA"
130421,"HC GW.STD.ANG.018""X80CM"
130423,"HC GW.STD.ANG.025""X150CM"
130424,GIARDIA AND CRYPTOSPORIDIUM ANTIGEN PANEL
130426,"HC GW.STD.ANG.025""X180CM"
130428,"ORGANIC ACIDS, FULL PANEL, QUANTITATIVE, URINE"
130429,"HC GW.STD.ANG.025""X80CM"
130431,"HC GW.STD.ANG.035""X320CM"
130432,"OVA AND PARASITES, STOOL CONC AND PERM SMEAR"
130434,"HC GW.STD.ANG.035""X80CM"
130436,THYROID PANEL
130437,"HC GW.STD.ANG.038""X150CM"
130439,"HC GW.STD.ANG.038""X80CM"
130440,"CULTURE, STOOL, SAL/SHIG/CAMPY AND SHIGA TOXIN"
130442,"HC GW.STIFF.ANG.025""X150CM"
130444,CRYPTOSPORIDIUM/ISOSPORA SMEAR
130445,"HC GW.STIFF.ANG.025""X180CM"
130447,"HC GW.STIFF.ANG.025""X80CM"
130449,"HC GW.STIFF.ANG.035""X320CM"
130451,"HC GW.STIFF.ANG.038""X150CM"
130453,"HC GW.STIFF.ANG.038""X180CM"
130455,"HC GW.STIFF.ANG.038""X80CM"
130457,HC GLIASITE RTS ACCESS TRAY
130458,"HC GW.STIFF.STRT.025""X150CM"
130460,"HC GW.STIFF.STRT.025""X180CM"
130462,"HC GW.STIFF.STRT.025""X80CM"
130464,"HC GW.STIFF.STRT.035""X260CM"
130466,"HC GW.STIFF.STRT.035""X320CM"
155050,BACTERIAL VAGINITIS PNL-AFFIRM
155073,LUPUS ANTICOAGULANT DRVVT CONF
130470,"HC GW.STIFF.STRT.035""X80CM"
155075,FTA-ABS
155076,"CATECHOLAMINES, FRACTION, PLASMA"
130474,"HC GW.STIFF.STRT.038""X150CM"
155077,"PORPHYRINS, QUANTITATIVE, RANDOM URINE"
155078,NEURONAL NUCLEAR (HU) AB
130478,"HC GW.STIFF.STRT.038""X180CM"
155081,C1 ESTERASE INHIBITOR
130482,"HC GW.STIFF.STRT.038""X80CM"
155092,FOLLOW UP
155093,HEART GROUP CLEARING RECOUPMENT
130486,HC RESUS.AUTO.ADLT/PED
